2,"t","Honey: Released February 26, 2010, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 2008 1/ 2/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies 3/","Colony","","Dec 15 4/","Pound 5/","Production 6/"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",9,66,594,214,190,1129
2,"d","AZ",25,64,1600,336,126,2016
2,"d","AR",28,75,2100,525,135,2835
2,"d","CA",360,51,18360,4039,139,25520
2,"d","CO",27,45,1215,656,151,1835
2,"d","FL",150,79,11850,1304,132,15642
2,"d","GA",65,71,4615,369,152,7015
2,"d","HI",10,90,900,225,159,1431
2,"d","ID",90,40,3600,1440,146,5256
2,"d","IL",8,56,448,116,259,1160
2,"d","IN",7,67,469,150,168,788
2,"d","IA",24,62,1488,580,158,2351
2,"d","KS",10,61,610,128,155,946
2,"d","KY",4,39,156,27,244,381
2,"d","LA",40,77,3080,493,136,4189
2,"d","ME",7,42,294,79,157,462
2,"d","MI",71,73,5183,2021,144,7464
2,"d","MN",122,78,9516,2569,139,13227
2,"d","MS",14,98,1372,110,130,1784
2,"d","MO",11,53,583,152,168,979
2,"d","MT",134,70,9380,4596,137,12851
2,"d","NE",36,67,2412,1254,145,3497
2,"d","NV",10,29,290,52,142,412
2,"d","NJ",9,40,360,122,162,583
2,"d","NM",6,48,288,95,148,426
2,"d","NY",50,70,3500,1260,165,5775
2,"d","NC",12,52,624,137,218,1360
2,"d","ND",400,90,36000,8640,136,48960
2,"d","OH",14,53,742,371,168,1247
2,"d","OR",50,43,2150,1097,141,3032
2,"d","PA",23,48,1104,276,165,1822
2,"d","SD",225,95,21375,11970,134,28643
2,"d","TN",7,61,427,149,209,892
2,"d","TX",77,64,4928,1380,134,6604
2,"d","UT",28,48,1344,242,157,2110
2,"d","VT",5,66,330,119,220,726
2,"d","VA",6,42,252,45,242,610
2,"d","WA",49,44,2156,862,151,3256
2,"d","WV",6,43,258,49,216,557
2,"d","WI",58,80,4640,2366,150,6960
2,"d","WY",39,61,2379,381,137,3259
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 7/ 8/",16,51,817,163,234,1912
2,"d","",,,,,,
2,"d","US 8/ 9/",2342,69.9,163789,51159,142.1,232744
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
2,"f","2/  Revised."
2,"f","3/  Honey producing colonies are the maximum number of colonies from which honey was taken during the year.  It is possible to take honey from colonies which did not survive the entire year."
2,"f","4/  Stocks held by producers."
2,"f","5/  Average price per pound based on expanded sales."
2,"f","6/  Value of production is equal to production multiplied by average price per pound."
2,"f","7/  CT, DE, MD, MA, NH, OK, RI, and SC not published separately to avoid disclosing data for individual operations."
2,"f","8/  Due to rounding, total colonies multiplied by total yield may not exactly equal production."
2,"f","9/  Summation of States will not equal U.S. level value of production."
