2,"t","Honey: Released March 20, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2013"
2,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","producing","per","Production","Stocks","price per","of"
2,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
2,"h","","","","","","",""
2,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
2,"d","Alabama",7,52,364,55,285,1037
2,"d","Arizona",29,36,1044,251,196,2046
2,"d","Arkansas",22,60,1320,66,202,2666
2,"d","California",330,33,10890,2505,211,22978
2,"d","Colorado",26,43,1118,324,210,2348
2,"d","Florida",220,61,13420,1074,203,27243
2,"d","Georgia",67,50,3350,637,226,7571
2,"d","Hawaii",13,83,1079,65,197,2126
2,"d","Idaho",83,32,2656,1036,202,5365
2,"d","Illinois",7,48,336,101,419,1408
2,"d","",,,,,,
2,"d","Indiana",6,47,282,82,277,781
2,"d","Iowa",39,48,1872,1217,245,4586
2,"d","Kansas",6,46,276,39,250,690
2,"d","Kentucky",3,41,123,17,325,400
2,"d","Louisiana",50,98,4900,490,189,9261
2,"d","Maine",7,43,301,27,314,945
2,"d","Michigan",85,55,4675,982,216,10098
2,"d","Minnesota",130,58,7540,1282,199,15005
2,"d","Mississippi",17,116,1972,39,186,3668
2,"d","Missouri",10,47,470,85,262,1231
2,"d","",,,,,,
2,"d","Montana",159,94,14946,5231,209,31237
2,"d","Nebraska",46,60,2760,1628,207,5713
2,"d","New Jersey",11,44,484,34,419,2028
2,"d","New York",55,48,2640,1030,212,5597
2,"d","North Carolina",10,38,380,84,367,1395
2,"d","North Dakota",480,69,33120,6955,204,67565
2,"d","Ohio",17,45,765,390,329,2517
2,"d","Oregon",62,35,2170,456,239,5186
2,"d","Pennsylvania",13,45,585,257,303,1773
2,"d","South Dakota",265,56,14840,6381,207,30719
2,"d","",,,,,,
2,"d","Tennessee",7,45,315,63,355,1118
2,"d","Texas",106,59,6254,1689,210,13133
2,"d","Utah",30,34,1020,92,209,2132
2,"d","Vermont",3,51,153,46,389,595
2,"d","Virginia",5,35,175,42,450,788
2,"d","Washington",69,39,2691,1023,230,6189
2,"d","West Virginia",6,46,276,83,366,1010
2,"d","Wisconsin",59,60,3540,1558,238,8425
2,"d","Wyoming",47,66,3102,558,211,6545
2,"d","",,,,,,
2,"d","Other States 5/ 6/",33,39,1295,186,383,4960
2,"d","",,,,,,
2,"d","United States 6/ 7/",2640,56.6,149499,38160,214.1,320077
2,"c",""
2,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
2,"f","2/ Stocks held by producers."
2,"f","3/ Average price per pound based on expanded sales."
2,"f","4/ Value of production is equal to production multiplied by average price per pound."
2,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
2,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
2,"f","7/ United States value of production will not equal summation of States."
