2,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2015"
2,"t","[Operations with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","producing","per","Production","Stocks","price per","of"
2,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
2,"h","","","","","","",""
2,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
2,"d","Alabama",7,47,329,13,383,1260
2,"d","Arizona",26,49,1274,306,203,2586
2,"d","Arkansas",24,72,1728,121,206,3560
2,"d","California",275,30,8250,1485,203,16748
2,"d","Colorado",29,51,1479,399,226,3343
2,"d","Florida",220,54,11880,832,197,23404
2,"d","Georgia",69,40,2760,221,243,6707
2,"d","Hawaii",14,102,1428,71,191,2727
2,"d","Idaho",89,32,2848,1082,193,5497
2,"d","Illinois",8,51,408,155,466,1901
2,"d","",,,,,,
2,"d","Indiana",6,53,318,165,323,1027
2,"d","Iowa",36,50,1800,990,220,3960
2,"d","Kansas",8,36,288,107,350,1008
2,"d","Kentucky",5,46,230,55,404,929
2,"d","Louisiana",44,99,4356,348,195,8494
2,"d","Maine",10,47,470,47,543,2552
2,"d","Michigan",90,58,5220,1984,244,12737
2,"d","Minnesota",122,68,8296,2157,184,15265
2,"d","Mississippi",15,83,1245,87,240,2988
2,"d","Missouri",10,52,520,52,355,1846
2,"d","",,,,,,
2,"d","Montana",146,83,12118,3757,194,23509
2,"d","Nebraska",57,48,2736,1450,204,5581
2,"d","New Jersey",12,27,324,207,420,1361
2,"d","New York",58,62,3596,899,294,10572
2,"d","North Carolina",12,45,540,103,451,2435
2,"d","North Dakota",490,74,36260,9428,180,65268
2,"d","Ohio",17,50,850,357,360,3060
2,"d","Oregon",71,38,2698,809,243,6556
2,"d","Pennsylvania",17,53,901,225,362,3262
2,"d","South Carolina",14,67,938,38,410,3846
2,"d","",,,,,,
2,"d","South Dakota",290,66,19140,9379,179,34261
2,"d","Tennessee",7,59,413,78,404,1669
2,"d","Texas",126,66,8316,1164,210,17464
2,"d","Utah",27,42,1134,147,192,2177
2,"d","Vermont",5,52,260,62,423,1100
2,"d","Virginia",6,38,228,50,553,1261
2,"d","Washington",73,44,3212,1221,180,5782
2,"d","West Virginia",5,35,175,32,444,777
2,"d","Wisconsin",52,67,3484,1603,243,8466
2,"d","Wyoming",38,77,2926,146,190,5559
2,"d","",,,,,,
2,"d","Other States 5/ 6/",30,39,1168,371,524,6102
2,"d","",,,,,,
2,"d","United States 6/ 7/",2660,58.9,156544,42203,208.3,326081
2,"c",""
2,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
2,"f","2/ Stocks held by producers."
2,"f","3/ Average price per pound based on expanded sales."
2,"f","4/ Value of production is equal to production multiplied by average price per pound."
2,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
2,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
2,"f","7/ United States value of production will not equal summation of States."
