2,"t","Honey: Released February 28, 2006, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 2004 1/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",12,87,1044,282,141,1472
2,"d","AZ",32,55,1760,774,111,1954
2,"d","AR",40,57,2280,388,86,1961
2,"d","CA",390,45,17550,5792,101,17726
2,"d","CO",23,80,1840,791,135,2484
2,"d","FL",205,98,20090,2009,100,20090
2,"d","GA",63,49,3087,648,119,3674
2,"d","HI",8,96,768,77,159,1221
2,"d","ID",100,63,6300,2520,99,6237
2,"d","IL",7,55,385,193,186,716
2,"d","IN",7,59,413,145,149,615
2,"d","IA",35,67,2345,1337,106,2486
2,"d","KS",14,80,1120,683,117,1310
2,"d","KY",5,56,280,34,196,549
2,"d","LA",35,98,3430,240,78,2675
2,"d","ME",7,31,217,37,128,278
2,"d","MI",65,67,4355,2439,114,4965
2,"d","MN",135,75,10125,1924,104,10530
2,"d","MS",18,65,1170,421,79,924
2,"d","MO",16,41,656,151,138,905
2,"d","MT",140,77,10780,3773,105,11319
2,"d","NE",51,89,4539,2043,97,4403
2,"d","NV",14,55,770,316,247,1902
2,"d","NJ",12,27,324,45,141,457
2,"d","NM",8,44,352,127,119,419
2,"d","NY",64,67,4288,1887,138,5917
2,"d","NC",9,40,360,72,193,695
2,"d","ND",390,78,30420,9126,102,31028
2,"d","OH",16,58,928,353,152,1411
2,"d","OR",42,54,2268,1111,121,2744
2,"d","PA",30,54,1620,810,142,2300
2,"d","SD",215,105,22575,13545,100,22575
2,"d","TN",6,54,324,91,173,561
2,"d","TX",116,76,8816,1411,95,8375
2,"d","UT",23,70,1610,531,107,1723
2,"d","VT",6,68,408,192,151,616
2,"d","VA",7,38,266,69,209,556
2,"d","WA",56,63,3528,1376,98,3457
2,"d","WV",9,55,495,183,141,698
2,"d","WI",68,86,5848,2632,119,6959
2,"d","WY",39,75,2925,380,107,3130
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 4/ 5/",18,51,923,264,243,2242
2,"d","",,,,,,
2,"d","US 5/",2556,71.8,183582,61222,106.9,196259
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
2,"f","2/  Stocks held by producers."
2,"f","3/  Prices weighted by sales."
2,"f","4/  CT, DE, MD, MA, NH, OK, RI, and SC not published separately to avoid disclosing data for individual operations."
2,"f","5/  Total colonies multiplied by total yield may not exactly equal production."
