1,"t","Honey: Released February 28, 2002, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
1,"t","Honey:  Price by Color Class, United States, 2000-01"
1,"h","","","","","","",""
1,"h","","Price","Price","Price","Price","Price","Price"
1,"h","","","","","","",""
1,"h","Color Class","Co-op and Private","Co-op and Private","Retail","Retail","All","All"
1,"h","","","","","","",""
1,"h","","2000","2001","2000","2001","2000","2001"
1,"h","","","","","","",""
1,"u","","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound"
1,"d","Water White,",,,,,,
1,"d"," Extra White, White",56.3,65.0,114.5,125.4,58.2,66.5
1,"d","",,,,,,
1,"d","Extra Light Amber",56.0,64.0,121.7,130.7,60.7,66.9
1,"d","",,,,,,
1,"d","Light Amber,",,,,,,
1,"d"," Amber, Dark Amber",49.8,59.8,141.9,152.2,60.1,66.6
1,"d","",,,,,,
1,"d","All Other Honey,",,,,,,
1,"d"," Area Specialties",63.2,59.8,175.2,152.5,92.9,78.7
1,"d","",,,,,,
1,"d","All Honey",55.1,63.3,130.4,140.6,59.7,66.9
1,"c",""
2,"t","Honey: Released February 28, 2002, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 2000 1/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",16,78,1248,187,59,736
2,"d","AZ",40,59,2360,1322,73,1723
2,"d","AR",55,93,5115,3529,57,2916
2,"d","CA",440,70,30800,11396,59,18172
2,"d","CO",29,60,1740,957,62,1079
2,"d","FL",232,105,24360,2923,54,13154
2,"d","GA",55,57,3135,376,63,1975
2,"d","HI",7,112,784,125,82,643
2,"d","ID",100,47,4700,2679,52,2444
2,"d","IL",8,61,488,146,117,571
2,"d","IN",8,65,520,286,103,536
2,"d","IA",30,67,2010,1206,68,1367
2,"d","KS",15,68,1020,520,91,928
2,"d","KY",3,48,144,40,135,194
2,"d","LA",43,94,4042,1334,52,2102
2,"d","ME",11,21,231,143,75,173
2,"d","MD",6,46,276,52,114,315
2,"d","MI",72,75,5400,2970,60,3240
2,"d","MN",150,90,13500,3105,57,7695
2,"d","MS",17,72,1224,649,69,845
2,"d","MO",23,75,1725,362,60,1035
2,"d","MT",124,88,10912,4692,59,6438
2,"d","NE",50,87,4350,2610,59,2567
2,"d","NV",10,35,350,95,145,508
2,"d","NJ",11,35,385,200,61,235
2,"d","NM",15,64,960,739,72,691
2,"d","NY",58,80,4640,2274,55,2552
2,"d","NC",11,49,539,243,143,771
2,"d","ND",300,115,34500,13800,57,19665
2,"d","OH",18,65,1170,585,79,924
2,"d","OK",7,35,245,64,126,309
2,"d","OR",48,51,2448,1665,66,1616
2,"d","PA",22,45,990,554,76,752
2,"d","SD",235,121,28435,12796,58,16492
2,"d","TN",9,61,549,104,143,785
2,"d","TX",105,79,8295,2986,57,4728
2,"d","UT",24,41,984,462,60,590
2,"d","VT",7,59,413,211,68,281
2,"d","VA",7,42,294,103,150,441
2,"d","WA",52,54,2808,1151,58,1629
2,"d","WV",7,54,378,234,122,461
2,"d","WI",84,90,7560,4385,68,5141
2,"d","WY",39,93,3627,798,59,2140
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 4/ 5/",17,40,685,270,173,1183
2,"d","",,,,,,
2,"d","US 5/",2620,84.1,220339,85328,59.7,132742
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State.  2/  Stocks held by producers.   3/  Prices weighted by sales.  4/  CT, DE, MA, NH, RI and SC not published separately to avoid disclosing data for individual operations.  5/  Total colonies multiplied by total yield may not exactly equal production."
3,"t","Honey: Released February 28, 2002, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2001 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",14,73,1022,235,71,726
3,"d","AZ",43,59,2537,1142,78,1979
3,"d","AR",58,98,5655,1872,66,3732
3,"d","CA",425,65,27625,7735,67,18509
3,"d","CO",26,55,1430,529,70,1001
3,"d","FL",220,100,22000,3432,62,13640
3,"d","GA",55,57,3135,188,70,2195
3,"d","HI",8,87,696,84,85,592
3,"d","ID",100,46,4600,1610,66,3036
3,"d","IL",6,76,456,251,172,784
3,"d","IN",8,76,608,213,86,523
3,"d","IA",33,51,1683,875,73,1229
3,"d","KS",13,51,663,530,85,564
3,"d","KY",3,78,234,94,131,307
3,"d","LA",45,106,4770,572,60,2862
3,"d","ME",11,20,220,106,70,154
3,"d","MD",4,46,184,55,172,316
3,"d","MI",76,60,4560,2827,78,3557
3,"d","MN",135,81,10935,1859,63,6889
3,"d","MS",17,66,1122,224,60,673
3,"d","MO",25,61,1525,381,68,1037
3,"d","MT",136,102,13872,4578,65,9017
3,"d","NE",43,48,2064,1115,66,1362
3,"d","NV",11,50,550,44,201,1106
3,"d","NJ",11,34,374,71,82,307
3,"d","NM",15,70,1050,525,65,683
3,"d","NY",53,70,3710,1781,68,2523
3,"d","NC",11,44,484,145,158,765
3,"d","ND",280,96,26880,9408,65,17472
3,"d","OH",16,81,1296,505,85,1102
3,"d","OK",4,47,188,105,141,265
3,"d","OR",44,44,1936,1200,69,1336
3,"d","PA",17,57,969,514,87,843
3,"d","SD",235,65,15275,12220,64,9776
3,"d","TN",9,59,531,147,137,727
3,"d","TX",97,79,7663,1533,64,4904
3,"d","UT",23,38,874,315,65,568
3,"d","VT",7,81,567,249,91,516
3,"d","VA",9,52,468,94,117,548
3,"d","WA",42,52,2184,917,67,1463
3,"d","WV",7,65,455,410,155,705
3,"d","WI",67,81,5427,3419,76,4125
3,"d","WY",38,77,2926,468,63,1843
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 4/ 5/",13,40,523,173,153,799
3,"d","",,,,,,
3,"d","US 5/",2513,74.0,185926,64750,66.9,127060
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State.  2/  Stocks held by producers.   3/  Prices weighted by sales.  4/  CT, DE, MA, NH, RI and SC not published separately to avoid disclosing data for individual operations.  5/  Total colonies multiplied by total yield may not exactly equal production."
