3,"t","Honey: Released March 18, 2013, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2012"
3,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",8,54,432,65,243,1050
3,"d","Arizona",22,46,1012,253,170,1720
3,"d","Arkansas",26,63,1638,197,184,3014
3,"d","California",340,35,11900,3213,193,22967
3,"d","Colorado",26,48,1248,487,212,2646
3,"d","Florida",199,64,12736,1274,181,23052
3,"d","Georgia",62,51,3162,190,189,5976
3,"d","Hawaii",10,75,750,263,319,2393
3,"d","Idaho",96,32,3072,553,161,4946
3,"d","Illinois",7,61,427,145,340,1452
3,"d","",,,,,,
3,"d","Indiana",9,59,531,228,244,1296
3,"d","Iowa",38,61,2318,1229,211,4891
3,"d","Kansas",7,55,385,146,235,905
3,"d","Kentucky",5,51,255,41,318,811
3,"d","Louisiana",41,86,3526,141,177,6241
3,"d","Maine",4,34,136,24,225,306
3,"d","Michigan",76,57,4332,1386,203,8794
3,"d","Minnesota",130,67,8710,1655,188,16375
3,"d","Mississippi",19,118,2242,67,163,3654
3,"d","Missouri",7,53,371,108,256,950
3,"d","",,,,,,
3,"d","Montana",149,52,7748,2479,191,14799
3,"d","Nebraska",44,65,2860,1173,191,5463
3,"d","New Jersey",14,33,462,51,188,869
3,"d","New Mexico",5,52,260,99,313,814
3,"d","New York",52,51,2652,1008,228,6047
3,"d","North Carolina",13,39,507,106,369,1871
3,"d","North Dakota",495,69,34155,6148,189,64553
3,"d","Ohio",19,60,1140,433,242,2759
3,"d","Oregon",62,32,1984,873,211,4186
3,"d","Pennsylvania",17,60,1020,286,262,2672
3,"d","",,,,,,
3,"d","South Dakota",270,63,17010,3742,194,32999
3,"d","Tennessee",7,61,427,68,285,1217
3,"d","Texas",95,52,4940,741,200,9880
3,"d","Utah",26,38,988,217,185,1828
3,"d","Vermont",4,60,240,53,234,562
3,"d","Virginia",4,41,164,23,385,631
3,"d","Washington",64,41,2624,1050,235,6166
3,"d","West Virginia",7,48,336,111,280,941
3,"d","Wisconsin",63,69,4347,1956,204,8868
3,"d","Wyoming",51,51,2601,468,182,4734
3,"d","",,,,,,
3,"d","Other States 5/ 6/",31,47,1444,172,304,4390
3,"d","",,,,,,
3,"d","United States 6/ 7/",2624,56.1,147092,32922,195.1,286976
3,"c",""
3,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
3,"f","2/ Stocks held by producers."
3,"f","3/ Average price per pound based on expanded sales."
3,"f","4/ Value of production is equal to production multiplied by average price per pound."
3,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
3,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/ United States value of production will not equal summation of States."
