3,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2016"
3,"t","[Operations with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",7,52,364,33,337,1227
3,"d","Arizona",27,46,1242,261,199,2472
3,"d","Arkansas",24,69,1656,99,184,3047
3,"d","California",310,36,11160,2009,200,22320
3,"d","Colorado",32,40,1280,282,217,2778
3,"d","Florida",215,50,10750,538,244,26230
3,"d","Georgia",96,39,3744,899,269,10071
3,"d","Hawaii",16,113,1808,127,231,4176
3,"d","Idaho",97,34,3298,1253,172,5673
3,"d","Illinois",10,48,480,77,539,2587
3,"d","",,,,,,
3,"d","Indiana",7,62,434,208,336,1458
3,"d","Iowa",37,48,1776,746,207,3676
3,"d","Kansas",7,48,336,54,297,998
3,"d","Kentucky",5,46,230,48,402,925
3,"d","Louisiana",50,86,4300,301,193,8299
3,"d","Maine",12,34,408,65,321,1310
3,"d","Michigan",89,60,5340,1709,225,12015
3,"d","Minnesota",124,59,7316,1390,164,11998
3,"d","Mississippi",19,85,1615,113,174,2810
3,"d","Missouri",8,62,496,30,218,1081
3,"d","",,,,,,
3,"d","Montana",159,77,12243,3183,175,21425
3,"d","Nebraska",48,46,2208,640,188,4151
3,"d","New Jersey",12,27,324,198,669,2168
3,"d","New York",64,57,3648,1167,320,11674
3,"d","North Carolina",12,37,444,89,461,2047
3,"d","North Dakota",485,78,37830,6809,173,65446
3,"d","Ohio",15,79,1185,664,384,4550
3,"d","Oregon",74,35,2590,622,206,5335
3,"d","Pennsylvania",19,50,950,266,315,2993
3,"d","South Carolina",16,45,720,36,450,3240
3,"d","",,,,,,
3,"d","South Dakota",280,71,19880,12127,174,34591
3,"d","Tennessee",6,55,330,69,478,1577
3,"d","Texas",133,70,9310,2607,196,18248
3,"d","Utah",31,32,992,169,191,1895
3,"d","Vermont",6,52,312,69,282,880
3,"d","Virginia",5,38,190,30,582,1106
3,"d","Washington",84,35,2940,412,188,5527
3,"d","West Virginia",5,32,160,43,373,597
3,"d","Wisconsin",54,62,3348,1205,244,8169
3,"d","Wyoming",40,68,2720,190,176,4787
3,"d","",,,,,,
3,"d","Other States 5/ 6/",35,44,1525,416,426,6497
3,"d","",,,,,,
3,"d","United States 6/ 7/",2775,58.3,161882,41253,207.5,335905
3,"c",""
3,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
3,"f","2/ Stocks held by producers."
3,"f","3/ Average price per pound based on expanded sales."
3,"f","4/ Value of production is equal to production multiplied by average price per pound."
3,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
3,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/ United States value of production will not equal summation of States."
