5,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Number of Colonies, Yield, and Production – United States: 2015 and 2016"
5,"t","[Operations with less than 5 colonies that also qualify as a farm]"
5,"h","","","","","","",""
5,"h","","Honey","Honey","Yield","Yield","",""
5,"h","State","producing","producing","per","per","Production","Production"
5,"h","","colonies 1/","colonies 1/","colony","colony","",""
5,"h","","","","","","",""
5,"h","","2015","2016","2015","2016","2015","2016"
5,"h","","","","","","",""
5,"u","","(1,000)","(1,000)","(pounds)","(pounds)","(1,000 pounds)","(1,000 pounds)"
5,"d","United States 2/",23,24,31.3,31.9,720,766
5,"c",""
5,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
5,"f","2/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
