cor,state
-0.03508454,Alabama
0.43547304,Arizona
-0.12789102,Arkansas*
-0.03508454,California
0.28547481,Colorado
0.31520265,Florida
-0.07157318,Georgia
0.16568803,Idaho
-0.10397823,Illinois
0.04744667,Indiana
-0.1500312,Iowa
-0.53291551,Kansas
-0.31032004,Kentucky
0.17183479,Louisiana
-0.15380302,Maine
1,Maryland*
-0.31736049,Michigan
0.48053373,Minnesota
-0.03031168,Mississippi*
-0.55129778,Missouri*
-0.31523674,Montana*
0.08987895,Nebraska
-0.71499745,Nevada*
0.14382192,New Jersey
0.21007378,New Mexico
-0.21510485,New York
-0.13587731,North Carolina
0.45910798,North Dakota*
0.2894335,Ohio
0.20332178,Oregon
0.42848372,Pennsylvania
0.75727597,South Carolina*
0.37363011,South Dakota*
-0.07353412,Tennessee
-0.26079483,Texas
0.1260496,Utah
-0.47490072,Vermont
0.1631399,Virginia
-0.07629201,Washington
-0.44140594,West Virginia
-0.01246043,Wisconsin
-0.01591199,Wyoming
