"","year","state","state_ansi","ag_district","ag_district_code","county","county_ansi","colony_count","cv_percent","state_county_fips"
"1",2002,"CALIFORNIA","06","NORTHEAST",30,"MODOC","049","NA",NA,"06049"
"2",2002,"CALIFORNIA","06","SAN JOAQUIN VALLEY",51,"MADERA","039","12,140",NA,"06039"
"3",2002,"CALIFORNIA","06","SISKIYOU-SHASTA",20,"TRINITY","105","66",NA,"06105"
"4",2012,"WYOMING","56","NORTHEAST",20,"CAMPBELL","005","41","55.5","56005"
"5",2012,"WYOMING","56","NORTHEAST",20,"CROOK","011","4,553","55.5","56011"
"6",2012,"WYOMING","56","NORTHEAST",20,"JOHNSON","019","NA","NA","56019"
"7",2012,"WYOMING","56","NORTHEAST",20,"SHERIDAN","033","4,632","55.5","56033"
"8",2012,"WYOMING","56","NORTHWEST",10,"BIG HORN","003","5,775","55.5","56003"
"9",2012,"WYOMING","56","NORTHWEST",10,"FREMONT","013","12,069","55.5","56013"
"10",2012,"WYOMING","56","NORTHWEST",10,"PARK","029","NA","NA","56029"
"11",2012,"WYOMING","56","NORTHWEST",10,"WASHAKIE","043","NA","NA","56043"
"12",2012,"WYOMING","56","SOUTH CENTRAL",40,"ALBANY","001","NA","NA","56001"
"13",2012,"WYOMING","56","SOUTH CENTRAL",40,"NATRONA","025","8,253","55.5","56025"
"14",2012,"WYOMING","56","SOUTH CENTRAL",40,"SWEETWATER","037","244","55.5","56037"
"15",2012,"WYOMING","56","SOUTHEAST",50,"CONVERSE","009","8","55.5","56009"
"16",2012,"WYOMING","56","SOUTHEAST",50,"GOSHEN","015","NA","NA","56015"
"17",2012,"WYOMING","56","SOUTHEAST",50,"LARAMIE","021","158","55.5","56021"
"18",2012,"WYOMING","56","SOUTHEAST",50,"PLATTE","031","NA","NA","56031"
"19",2012,"WYOMING","56","WEST",30,"LINCOLN","023","NA","NA","56023"
"20",2012,"WYOMING","56","WEST",30,"TETON","039","NA","NA","56039"
"21",2012,"WYOMING","56","WEST",30,"UINTA","041","136","55.5","56041"
"22",2007,"WYOMING","56","NORTHEAST",20,"CAMPBELL","005","NA",NA,"56005"
"23",2007,"WYOMING","56","NORTHEAST",20,"CROOK","011","NA",NA,"56011"
"24",2007,"WYOMING","56","NORTHEAST",20,"JOHNSON","019","7,887",NA,"56019"
"25",2007,"WYOMING","56","NORTHEAST",20,"SHERIDAN","033","NA",NA,"56033"
"26",2007,"WYOMING","56","NORTHEAST",20,"WESTON","045","NA",NA,"56045"
"27",2007,"WYOMING","56","NORTHWEST",10,"BIG HORN","003","9,738",NA,"56003"
"28",2007,"WYOMING","56","NORTHWEST",10,"FREMONT","013","13,040",NA,"56013"
"29",2007,"WYOMING","56","NORTHWEST",10,"HOT SPRINGS","017","NA",NA,"56017"
"30",2007,"WYOMING","56","NORTHWEST",10,"PARK","029","NA",NA,"56029"
"31",2007,"WYOMING","56","NORTHWEST",10,"WASHAKIE","043","NA",NA,"56043"
"32",2007,"WYOMING","56","SOUTH CENTRAL",40,"NATRONA","025","496",NA,"56025"
"33",2007,"WYOMING","56","SOUTH CENTRAL",40,"SWEETWATER","037","765",NA,"56037"
"34",2007,"WYOMING","56","SOUTHEAST",50,"CONVERSE","009","NA",NA,"56009"
"35",2007,"WYOMING","56","SOUTHEAST",50,"GOSHEN","015","NA",NA,"56015"
"36",2007,"WYOMING","56","SOUTHEAST",50,"LARAMIE","021","NA",NA,"56021"
"37",2007,"WYOMING","56","SOUTHEAST",50,"PLATTE","031","NA",NA,"56031"
"38",2007,"WYOMING","56","WEST",30,"LINCOLN","023","NA",NA,"56023"
"39",2007,"WYOMING","56","WEST",30,"TETON","039","NA",NA,"56039"
"40",2007,"WYOMING","56","WEST",30,"UINTA","041","NA",NA,"56041"
"41",2002,"WYOMING","56","NORTHEAST",20,"CAMPBELL","005","NA",NA,"56005"
"42",2002,"WYOMING","56","NORTHEAST",20,"CROOK","011","NA",NA,"56011"
"43",2002,"WYOMING","56","NORTHEAST",20,"JOHNSON","019","4,382",NA,"56019"
"44",2002,"WYOMING","56","NORTHEAST",20,"SHERIDAN","033","NA",NA,"56033"
"45",2002,"WYOMING","56","NORTHWEST",10,"BIG HORN","003","NA",NA,"56003"
"46",2002,"WYOMING","56","NORTHWEST",10,"FREMONT","013","10,012",NA,"56013"
"47",2002,"WYOMING","56","NORTHWEST",10,"HOT SPRINGS","017","NA",NA,"56017"
"48",2002,"WYOMING","56","NORTHWEST",10,"PARK","029","NA",NA,"56029"
"49",2002,"WYOMING","56","NORTHWEST",10,"WASHAKIE","043","6",NA,"56043"
"50",2002,"WYOMING","56","SOUTH CENTRAL",40,"ALBANY","001","NA",NA,"56001"
"51",2002,"WYOMING","56","SOUTH CENTRAL",40,"CARBON","007","NA",NA,"56007"
"52",2002,"WYOMING","56","SOUTH CENTRAL",40,"NATRONA","025","NA",NA,"56025"
"53",2002,"WYOMING","56","SOUTH CENTRAL",40,"SWEETWATER","037","NA",NA,"56037"
"54",2002,"WYOMING","56","SOUTHEAST",50,"CONVERSE","009","NA",NA,"56009"
"55",2002,"WYOMING","56","SOUTHEAST",50,"GOSHEN","015","NA",NA,"56015"
"56",2002,"WYOMING","56","SOUTHEAST",50,"LARAMIE","021","NA",NA,"56021"
"57",2002,"WYOMING","56","SOUTHEAST",50,"PLATTE","031","NA",NA,"56031"
"58",2002,"WYOMING","56","WEST",30,"LINCOLN","023","NA",NA,"56023"
"59",2002,"WYOMING","56","WEST",30,"UINTA","041","NA",NA,"56041"
"60",2012,"WISCONSIN","55","CENTRAL",50,"ADAMS","001","74","4.7","55001"
"61",2012,"WISCONSIN","55","CENTRAL",50,"GREEN LAKE","047","111","4.7","55047"
"62",2012,"WISCONSIN","55","CENTRAL",50,"JUNEAU","057","11","4.7","55057"
"63",2012,"WISCONSIN","55","CENTRAL",50,"MARQUETTE","077","233","4.7","55077"
"64",2012,"WISCONSIN","55","CENTRAL",50,"PORTAGE","097","NA","NA","55097"
"65",2012,"WISCONSIN","55","CENTRAL",50,"WAUPACA","135","215","4.7","55135"
"66",2012,"WISCONSIN","55","CENTRAL",50,"WAUSHARA","137","745","4.7","55137"
"67",2012,"WISCONSIN","55","CENTRAL",50,"WOOD","141","NA","NA","55141"
"68",2012,"WISCONSIN","55","EAST CENTRAL",60,"BROWN","009","1,472","4.7","55009"
"69",2012,"WISCONSIN","55","EAST CENTRAL",60,"CALUMET","015","123","4.7","55015"
"70",2012,"WISCONSIN","55","EAST CENTRAL",60,"DOOR","029","33","4.7","55029"
"71",2012,"WISCONSIN","55","EAST CENTRAL",60,"FOND DU LAC","039","188","4.7","55039"
"72",2012,"WISCONSIN","55","EAST CENTRAL",60,"KEWAUNEE","061","17","4.7","55061"
"73",2012,"WISCONSIN","55","EAST CENTRAL",60,"MANITOWOC","071","185","4.7","55071"
"74",2012,"WISCONSIN","55","EAST CENTRAL",60,"OUTAGAMIE","087","350","4.7","55087"
"75",2012,"WISCONSIN","55","EAST CENTRAL",60,"SHEBOYGAN","117","NA","NA","55117"
"76",2012,"WISCONSIN","55","EAST CENTRAL",60,"WINNEBAGO","139","NA","NA","55139"
"77",2012,"WISCONSIN","55","NORTH CENTRAL",20,"ASHLAND","003","NA","NA","55003"
"78",2012,"WISCONSIN","55","NORTH CENTRAL",20,"CLARK","019","3,512","4.7","55019"
"79",2012,"WISCONSIN","55","NORTH CENTRAL",20,"IRON","051","NA","NA","55051"
"80",2012,"WISCONSIN","55","NORTH CENTRAL",20,"LINCOLN","069","8","4.7","55069"
"81",2012,"WISCONSIN","55","NORTH CENTRAL",20,"MARATHON","073","NA","NA","55073"
"82",2012,"WISCONSIN","55","NORTH CENTRAL",20,"ONEIDA","085","81","4.7","55085"
"83",2012,"WISCONSIN","55","NORTH CENTRAL",20,"PRICE","099","53","4.7","55099"
"84",2012,"WISCONSIN","55","NORTH CENTRAL",20,"TAYLOR","119","NA","NA","55119"
