"","year.x","state","state_fips.x","honey_producing_colonies","yield_per_colony","production","compound","low","high"
"1","2004","Alabama",1,12,86,1032,"CHLOROTHALONIL",300592,304014
"2","2004","Alabama",1,12,86,1032,"CHLORPYRIFOS",8003,42984
"3","2004","Alabama",1,12,86,1032,"CLOTHIANIDIN",NA,2678
"4","2004","Alabama",1,12,86,1032,"FIPRONIL",NA,38
"5","2004","Alabama",1,12,86,1032,"IMIDACLOPRID",NA,1328
"6","2004","Arizona",4,38,63,2394,"CHLOROTHALONIL",9010,15365
"7","2004","Arizona",4,38,63,2394,"CHLORPYRIFOS",27504,28118
"8","2004","Arizona",4,38,63,2394,"CLOTHIANIDIN",NA,96
"9","2004","Arizona",4,38,63,2394,"IMIDACLOPRID",10471,10885
"10","2004","Arkansas",5,45,88,3960,"CHLOROTHALONIL",NA,9821
"11","2004","Arkansas",5,45,88,3960,"CHLORPYRIFOS",NA,11868
"12","2004","Arkansas",5,45,88,3960,"CLOTHIANIDIN",NA,529
"13","2004","Arkansas",5,45,88,3960,"IMIDACLOPRID",NA,11938
"14","2004","California",6,470,50,23500,"CHLOROTHALONIL",224889,224889
"15","2004","California",6,470,50,23500,"CHLORPYRIFOS",749085,749085
"16","2004","California",6,470,50,23500,"IMIDACLOPRID",38895,38895
"17","2004","Colorado",8,24,60,1440,"CHLOROTHALONIL",NA,82844
"18","2004","Colorado",8,24,60,1440,"CHLORPYRIFOS",NA,39787
"19","2004","Colorado",8,24,60,1440,"CLOTHIANIDIN",NA,1859
"20","2004","Colorado",8,24,60,1440,"FIPRONIL",NA,550
"21","2004","Colorado",8,24,60,1440,"IMIDACLOPRID",NA,1658
"22","2004","Florida",12,220,93,20460,"CHLOROTHALONIL",438765,454494
"23","2004","Florida",12,220,93,20460,"CHLORPYRIFOS",NA,64295
"24","2004","Florida",12,220,93,20460,"IMIDACLOPRID",NA,15849
"25","2004","Georgia",13,50,52,2600,"CHLOROTHALONIL",NA,920979
"26","2004","Georgia",13,50,52,2600,"CHLORPYRIFOS",NA,141676
"27","2004","Georgia",13,50,52,2600,"CLOTHIANIDIN",NA,4662
"28","2004","Georgia",13,50,52,2600,"FIPRONIL",NA,7
"29","2004","Georgia",13,50,52,2600,"IMIDACLOPRID",NA,3927
"30","2004","Georgia",13,50,52,2600,"THIACLOPRID",2,2
"31","2004","Idaho",16,100,57,5700,"CHLOROTHALONIL",NA,133317
"32","2004","Idaho",16,100,57,5700,"CHLORPYRIFOS",NA,16494
"33","2004","Idaho",16,100,57,5700,"CLOTHIANIDIN",0,0
"34","2004","Idaho",16,100,57,5700,"IMIDACLOPRID",NA,3397
"35","2004","Idaho",16,100,57,5700,"THIACLOPRID",NA,60
"36","2004","Illinois",17,9,80,720,"CHLOROTHALONIL",NA,12261
"37","2004","Illinois",17,9,80,720,"CHLORPYRIFOS",496245,543543
"38","2004","Illinois",17,9,80,720,"CLOTHIANIDIN",38470,38470
"39","2004","Illinois",17,9,80,720,"FIPRONIL",NA,6990
"40","2004","Illinois",17,9,80,720,"IMIDACLOPRID",NA,7923
"41","2004","Illinois",17,9,80,720,"THIACLOPRID",NA,109
"42","2004","Indiana",18,8,62,496,"CHLOROTHALONIL",NA,43291
"43","2004","Indiana",18,8,62,496,"CHLORPYRIFOS",NA,243115
"44","2004","Indiana",18,8,62,496,"CLOTHIANIDIN",18851,18851
"45","2004","Indiana",18,8,62,496,"FIPRONIL",NA,6488
"46","2004","Indiana",18,8,62,496,"IMIDACLOPRID",3502,3634
"47","2004","Indiana",18,8,62,496,"THIACLOPRID",NA,76
"48","2004","Iowa",19,33,70,2310,"CHLOROTHALONIL",5646,5527
"49","2004","Iowa",19,33,70,2310,"CHLORPYRIFOS",149699,183204
"50","2004","Iowa",19,33,70,2310,"CLOTHIANIDIN",21798,21798
"51","2004","Iowa",19,33,70,2310,"FIPRONIL",NA,12970
"52","2004","Iowa",19,33,70,2310,"IMIDACLOPRID",8141,8145
"53","2004","Kansas",20,17,52,884,"CHLOROTHALONIL",NA,2230
"54","2004","Kansas",20,17,52,884,"CHLORPYRIFOS",NA,77063
"55","2004","Kansas",20,17,52,884,"CLOTHIANIDIN",NA,7479
"56","2004","Kansas",20,17,52,884,"FIPRONIL",NA,9522
"57","2004","Kansas",20,17,52,884,"IMIDACLOPRID",NA,10637
"58","2004","Kentucky",21,5,54,270,"CHLOROTHALONIL",8141,8222
"59","2004","Kentucky",21,5,54,270,"CHLORPYRIFOS",NA,27108
"60","2004","Kentucky",21,5,54,270,"CLOTHIANIDIN",NA,1654
"61","2004","Kentucky",21,5,54,270,"FIPRONIL",NA,838
"62","2004","Kentucky",21,5,54,270,"IMIDACLOPRID",NA,3467
"63","2004","Kentucky",21,5,54,270,"THIACLOPRID",1,1
"64","2004","Louisiana",22,35,124,4340,"CHLOROTHALONIL",NA,1792
"65","2004","Louisiana",22,35,124,4340,"CHLORPYRIFOS",NA,22039
"66","2004","Louisiana",22,35,124,4340,"CLOTHIANIDIN",NA,132
"67","2004","Louisiana",22,35,124,4340,"IMIDACLOPRID",NA,5341
"68","2004","Maine",23,11,41,451,"CHLOROTHALONIL",89321,89740
"69","2004","Maine",23,11,41,451,"CHLORPYRIFOS",NA,2941
"70","2004","Maine",23,11,41,451,"FIPRONIL",NA,29
"71","2004","Maine",23,11,41,451,"IMIDACLOPRID",5033,5042
"72","2004","Maryland",24,3,46,138,"CHLOROTHALONIL",30503,31887
"73","2004","Maryland",24,3,46,138,"CHLORPYRIFOS",3121,10041
"74","2004","Maryland",24,3,46,138,"CLOTHIANIDIN",NA,654
"75","2004","Maryland",24,3,46,138,"FIPRONIL",NA,1819
"76","2004","Maryland",24,3,46,138,"IMIDACLOPRID",NA,713
"77","2004","Maryland",24,3,46,138,"THIACLOPRID",42,42
"78","2004","Michigan",26,72,77,5544,"CHLOROTHALONIL",NA,304799
"79","2004","Michigan",26,72,77,5544,"CHLORPYRIFOS",NA,125911
"80","2004","Michigan",26,72,77,5544,"CLOTHIANIDIN",NA,3321
"81","2004","Michigan",26,72,77,5544,"FIPRONIL",NA,1521
"82","2004","Michigan",26,72,77,5544,"IMIDACLOPRID",NA,5745
