"","year.x","state","county","colony_count","compound","epest_low_kg","epest_high_kg"
"1",2012,"WYOMING","CAMPBELL","41","CHLORPYRIFOS",122,1147
"2",2012,"WYOMING","CAMPBELL","41","CLOTHIANIDIN",0,0
"3",2012,"WYOMING","CAMPBELL","41","IMIDACLOPRID",2,2
"4",2012,"WYOMING","CROOK","4,553","CHLORPYRIFOS",82,1954
"5",2012,"WYOMING","CROOK","4,553","CLOTHIANIDIN",0,0
"6",2012,"WYOMING","CROOK","4,553","IMIDACLOPRID",1,1
"7",2012,"WYOMING","JOHNSON","NA","CHLORPYRIFOS",6,1240
"8",2012,"WYOMING","JOHNSON","NA","CLOTHIANIDIN",2,2
"9",2012,"WYOMING","JOHNSON","NA","IMIDACLOPRID",0,0
"10",2012,"WYOMING","SHERIDAN","4,632","CHLOROTHALONIL",1,1
"11",2012,"WYOMING","SHERIDAN","4,632","CHLORPYRIFOS",15,1986
"12",2012,"WYOMING","SHERIDAN","4,632","CLOTHIANIDIN",7,7
"13",2012,"WYOMING","SHERIDAN","4,632","IMIDACLOPRID",0,0
"14",2012,"WYOMING","BIG HORN","5,775","CHLORPYRIFOS",1550,1861
"15",2012,"WYOMING","BIG HORN","5,775","CLOTHIANIDIN",149,149
"16",2012,"WYOMING","BIG HORN","5,775","IMIDACLOPRID",11,11
"17",2012,"WYOMING","FREMONT","12,069","CHLOROTHALONIL",6,6
"18",2012,"WYOMING","FREMONT","12,069","CHLORPYRIFOS",4654,4794
"19",2012,"WYOMING","FREMONT","12,069","CLOTHIANIDIN",42,42
"20",2012,"WYOMING","FREMONT","12,069","IMIDACLOPRID",4,4
"21",2012,"WYOMING","PARK","NA","CHLOROTHALONIL",20,20
"22",2012,"WYOMING","PARK","NA","CHLORPYRIFOS",1718,1908
"23",2012,"WYOMING","PARK","NA","CLOTHIANIDIN",200,200
"24",2012,"WYOMING","PARK","NA","IMIDACLOPRID",1,1
"25",2012,"WYOMING","WASHAKIE","NA","CHLOROTHALONIL",11,11
"26",2012,"WYOMING","WASHAKIE","NA","CHLORPYRIFOS",682,769
"27",2012,"WYOMING","WASHAKIE","NA","CLOTHIANIDIN",85,85
"28",2012,"WYOMING","WASHAKIE","NA","IMIDACLOPRID",1,1
"29",2012,"WYOMING","ALBANY","NA","CHLOROTHALONIL",0,0
"30",2012,"WYOMING","ALBANY","NA","CHLORPYRIFOS",1,277
"31",2012,"WYOMING","ALBANY","NA","CLOTHIANIDIN",0,0
"32",2012,"WYOMING","NATRONA","8,253","CHLORPYRIFOS",7,1111
"33",2012,"WYOMING","NATRONA","8,253","CLOTHIANIDIN",1,1
"34",2012,"WYOMING","NATRONA","8,253","IMIDACLOPRID",0,0
"35",2012,"WYOMING","SWEETWATER","244","CHLORPYRIFOS",NA,966
"36",2012,"WYOMING","CONVERSE","8","CHLOROTHALONIL",28,24
"37",2012,"WYOMING","CONVERSE","8","CHLORPYRIFOS",3472,3596
"38",2012,"WYOMING","CONVERSE","8","CLOTHIANIDIN",16,16
"39",2012,"WYOMING","CONVERSE","8","IMIDACLOPRID",1,1
"40",2012,"WYOMING","GOSHEN","NA","CHLOROTHALONIL",311,1116
"41",2012,"WYOMING","GOSHEN","NA","CHLORPYRIFOS",8157,10743
