"","cor.pesticide","cor.honey_producing_colonies","state"
"1",-0.03508454, 1.00000000,"Alabama"
"2", 0.43547304, 1.00000000,"Arizona"
"3",-0.12789102, 1.00000000,"Arkansas"
"4",-0.03508454, 1.00000000,"California"
"5", 0.28547481, 1.00000000,"Colorado"
"6", 0.31520265, 1.00000000,"Florida"
"7",-0.07157318, 1.00000000,"Georgia"
"8", 0.16568803, 1.00000000,"Idaho"
"9",-0.10397823, 1.00000000,"Illinois"
"10", 0.04744667, 1.00000000,"Indiana"
"11",-0.15003120, 1.00000000,"Iowa"
"12",-0.53291551, 1.00000000,"Kansas"
"13",-0.31032004, 1.00000000,"Kentucky"
"14", 0.17183479, 1.00000000,"Louisiana"
"15",-0.15380302, 1.00000000,"Maine"
"16", 1.00000000, 1.00000000,"Maryland"
"17",-0.31736049, 1.00000000,"Michigan"
"18", 0.48053373, 1.00000000,"Minnesota"
"19",-0.03031168, 1.00000000,"Mississippi"
"20",-0.55129778, 1.00000000,"Missouri"
"21",-0.31523674, 1.00000000,"Montana"
"22", 0.08987895, 1.00000000,"Nebraska"
"23",-0.71499745, 1.00000000,"Nevada"
"24", 0.14382192, 1.00000000,"New Jersey"
"25", 0.21007378, 1.00000000,"New Mexico"
"26",-0.21510485, 1.00000000,"New York"
"27",-0.13587731, 1.00000000,"North Carolina"
"28", 0.45910798, 1.00000000,"North Dakota"
"29", 0.28943350, 1.00000000,"Ohio"
"30", 0.20332178, 1.00000000,"Oregon"
"31", 0.42848372, 1.00000000,"Pennsylvania"
"32", 0.75727597, 1.00000000,"South Carolina"
"33", 0.37363011, 1.00000000,"South Dakota"
"34",-0.07353412, 1.00000000,"Tennessee"
"35",-0.26079483, 1.00000000,"Texas"
"36", 0.12604960, 1.00000000,"Utah"
"37",-0.47490072, 1.00000000,"Vermont"
"38", 0.16313990, 1.00000000,"Virginia"
"39",-0.07629201, 1.00000000,"Washington"
"40",-0.44140594, 1.00000000,"West Virginia"
"41",-0.01246043, 1.00000000,"Wisconsin"
"42",-0.01591199, 1.00000000,"Wyoming"
